x	y
0	64.8798433461503
10	47.2848441836242
20	38.6214953347832
30	29.4550535224789
40	30.272786922653
50	35.1248959664682
60	38.4180267865654
70	41.7511157126917
80	52.1080455462125
90	52.2764792710104
100	42.9572421524227
110	43.9162452295039
120	38.1882703288352
130	26.158853681331
140	18.776861884955
150	14.956680173971
160	10.98666306215
170	7.01044806729
180	5.759982809232
190	4.449704974598
200	3.222608787652
210	2.552117405086
220	1.325277720865
230	1.706917253865
240	1.759983136539
250	1.883134596672
260	2.246977378552
270	1.54751891298
280	2.065805693307
290	2.409792672535
300	2.280669248289
310	1.961112624479
320	2.083152630671
330	2.168136052127
340	1.700878271017
350	2.187579094669
360	1.699018268903
370	2.003188295938
380	2.1609017541302
390	2.167368873251
400	2.1334159833797
400	0.154992639625949
390	0.138346664828748
380	0.122672941029986
370	0.14108194352111
360	0.163043209873375
350	0.175629630668258
340	0.197661165808256
330	0.208157273450054
320	0.230227787438535
310	0.263765792375354
300	0.287034029480345
290	0.284274208425481
280	0.306692722602074
270	0.284034061387111
260	0.295224064036125
250	0.285777829552743
240	0.308732212004288
230	0.26444042550091
220	0.232896330899299
210	0.197461931444376
200	0.179436252995335
190	0.178210381907862
180	0.170371296680999
170	0.176397903616934
160	0.187959149253528
150	0.245391326249247
140	0.290466358645867
130	0.316422583756642
120	0.375908254326911
110	0.437418927439209
100	0.462966855988267
90	0.527600131455865
80	0.473621123615115
70	0.5803690753896
60	0.625253588067202
50	0.744559632519035
40	1.07298653527995
30	1.90743233177924
20	3.92082351809024
10	8.97236659461373
0	15.3186396397914
